step,df,V,P,Q,I,action,reward,load_disturbance
63,-0.07673995196819305,0.9922529458999634,0.9144995808601379,0.34280335903167725,0.9842641353607178,0.011130226776003838,-0.11844298219498768,0.35
64,-0.08069853484630585,0.9923691749572754,0.9252458810806274,0.34277769923210144,0.9942870140075684,0.010156156495213509,-0.13087912588655687,0.35
65,-0.08058805763721466,0.9919661283493042,0.9288852214813232,0.34136661887168884,0.9976405501365662,0.011449516750872135,-0.13060001140223346,0.35
66,-0.08053185045719147,0.9927494525909424,0.92174232006073,0.34736576676368713,0.9922178387641907,0.011594656854867935,-0.13030050561328949,0.35
67,-0.08027677983045578,0.9925621747970581,0.9298104047775269,0.34220731258392334,0.9982087016105652,0.011367492377758026,-0.12950506515642835,0.35
68,-0.07806329429149628,0.9941256046295166,0.922370195388794,0.3377162218093872,0.9880562424659729,0.011602403596043587,-0.12228996763582542,0.35
69,-0.07664267718791962,0.9944151639938354,0.919453501701355,0.3371248245239258,0.984809935092926,0.010544978082180023,-0.11784972599925889,0.35
70,-0.07740689814090729,0.9933711290359497,0.9155543446540833,0.33827781677246094,0.982562243938446,0.01005016639828682,-0.12032651783430882,0.35
71,-0.07791104167699814,0.994286060333252,0.9241381287574768,0.3369891345500946,0.989315927028656,0.009987643919885159,-0.1217789873655904,0.35
72,-0.07613448053598404,0.9924024939537048,0.9192562103271484,0.3439651131629944,0.9890149235725403,0.010614043101668358,-0.11656281402762603,0.35
73,-0.07526110112667084,0.9920387268066406,0.9112926125526428,0.34632983803749084,0.9827074408531189,0.010551956482231617,-0.1139741480288752,0.35
74,-0.07622277736663818,0.9914321899414062,0.912282407283783,0.3428507149219513,0.9830020070075989,0.009846237488090992,-0.11698088625680722,0.35
75,-0.07721775025129318,0.9910478591918945,0.9171714782714844,0.3464970588684082,0.9892968535423279,0.009966367855668068,-0.1201026779772506,0.35
76,-0.07789859920740128,0.9915147423744202,0.9198863506317139,0.3451736271381378,0.9909232258796692,0.010793603025376797,-0.12214220704840699,0.35
77,-0.08058000355958939,0.9899629354476929,0.9233790040016174,0.3526478111743927,0.9984491467475891,0.01098679844290018,-0.13093052199952604,0.35
78,-0.08195021003484726,0.9888553023338318,0.9217958450317383,0.35311561822891235,0.9982412457466125,0.011743356473743916,-0.13562784459571334,0.35
79,-0.08028548955917358,0.9891365766525269,0.9163333177566528,0.3503911793231964,0.9918151497840881,0.011809222400188446,-0.13016505477715548,0.35
80,-0.07922440767288208,0.9895500540733337,0.9225678443908691,0.3560895323753357,0.9993471503257751,0.011426394805312157,-0.12668745599058687,0.35
81,-0.07831034064292908,0.9900962710380554,0.922056257724762,0.3524476885795593,0.9969945549964905,0.01174843031913042,-0.12370005578123973,0.35
82,-0.07624684274196625,0.9898710250854492,0.9143334627151489,0.3465964198112488,0.9878271222114563,0.011573774740099907,-0.11736457569162301,0.35
83,-0.07568313181400299,0.9890669584274292,0.9122828841209412,0.35265105962753296,0.9888824820518494,0.010533228516578674,-0.11580974618950406,0.35
84,-0.07748197019100189,0.9885978698730469,0.9130151271820068,0.35471177101135254,0.9907955527305603,0.010667426511645317,-0.12142610737538316,0.35
85,-0.07896384596824646,0.9882528185844421,0.9246172904968262,0.35689279437065125,1.0028862953186035,0.011128687299787998,-0.12614771494149865,0.35
86,-0.07748706638813019,0.98785799741745,0.9187688827514648,0.35784712433815,0.9981165528297424,0.011873205192387104,-0.12162978346516017,0.35
87,-0.07625289261341095,0.9878601431846619,0.9111707806587219,0.35867390036582947,0.9912575483322144,0.011643631383776665,-0.1178316372089899,0.35
88,-0.07862221449613571,0.9875875115394592,0.9198039174079895,0.36118802428245544,1.0005980730056763,0.011075123213231564,-0.12523114263551646,0.35
89,-0.07630304992198944,0.9882346391677856,0.914223849773407,0.3555973768234253,0.9926244020462036,0.011825197376310825,-0.11789738027218477,0.35
90,-0.07405746728181839,0.9886947870254517,0.9105613827705383,0.354011207818985,0.9881284832954407,0.011160620488226414,-0.11103062905122996,0.35
91,-0.07430429011583328,0.9889689683914185,0.9078031182289124,0.3511769473552704,0.9842180013656616,0.01038995198905468,-0.11169348134161271,0.35
92,-0.07494379580020905,0.9886146783828735,0.915712833404541,0.3491305410861969,0.9912975430488586,0.009986059740185738,-0.1136775997339815,0.35
93,-0.0766625702381134,0.988634467124939,0.9097155332565308,0.3542531132698059,0.9874801635742188,0.01074118074029684,-0.11889254931785256,0.35
94,-0.07769015431404114,0.9885215759277344,0.9151592254638672,0.3538890480995178,0.9925936460494995,0.010704015381634235,-0.12209001638747698,0.35
95,-0.07774680107831955,0.9866801500320435,0.9184151291847229,0.36371201276779175,1.0011472702026367,0.011293934658169746,-0.12272932223612475,0.35
96,-0.07481161504983902,0.98631352186203,0.9033713340759277,0.3544996678829193,0.9839041233062744,0.011823863722383976,-0.11387871055806026,0.35
97,-0.07442497462034225,0.9871637225151062,0.9158444404602051,0.3541695177555084,0.994708776473999,0.010124844498932362,-0.11248106979551585,0.35
98,-0.07427611202001572,0.988861083984375,0.9106212258338928,0.35286420583724976,0.9875990152359009,0.011091100983321667,-0.11164125069268001,0.35
99,-0.07274006307125092,0.9893893003463745,0.9114599227905273,0.35132917761802673,0.9873031377792358,0.01034803967922926,-0.10700184880934044,0.35
100,-0.07307270914316177,0.9901776909828186,0.9088369011878967,0.3476625382900238,0.9827166199684143,0.010060302913188934,-0.10780782455657131,0.35
101,-0.07487520575523376,0.9904934167861938,0.9146896004676819,0.3552432656288147,0.9906696081161499,0.009563281200826168,-0.11307546719564858,0.35
102,-0.07782196998596191,0.9903998374938965,0.9146366119384766,0.3433879613876343,0.9864425659179688,0.010747777298092842,-0.12210484864334109,0.35
103,-0.07582513242959976,0.9899147748947144,0.9112531542778015,0.3521827161312103,0.9868947267532349,0.010562283918261528,-0.11606191122378805,0.35
104,-0.07678486406803131,0.9877225160598755,0.9180939197540283,0.3521580398082733,0.9955394268035889,0.010476467199623585,-0.11948055184083307,0.35
105,-0.07765775918960571,0.9875011444091797,0.9245249629020691,0.3590080142021179,1.004335880279541,0.01142160128802061,-0.12224216012450026,0.35
106,-0.07633796334266663,0.9884002208709717,0.9199187159538269,0.3558480739593506,0.9979215860366821,0.011889885179698467,-0.1179659699386661,0.35
107,-0.07863596826791763,0.988389253616333,0.9195107817649841,0.3538852334022522,0.9968327283859253,0.011542990803718567,-0.1250870535701145,0.35
108,-0.07813484966754913,0.9890381097793579,0.9209563136100769,0.35068756341934204,0.9963878393173218,0.011612226255238056,-0.12337013683636162,0.35
109,-0.07823339849710464,0.9897745251655579,0.9203329682350159,0.35019969940185547,0.9948825240135193,0.011524736881256104,-0.12352130108216847,0.35
